data.year,males.mean,males.low,males.high
1980,89.3448528923654,78.3624199615516,102.446882453651
1981,98.75726284176,87.954169502684,113.562790512345
1982,100.410657699193,89.2351653831267,114.114821239132
1983,110.100252334823,98.0091602058057,126.302691407057
1984,114.106361137839,102.954618496656,131.860394632247
1985,114.956589328014,100.918416948862,130.67331044932
1986,117.082728866681,104.906366757841,134.97876862951
1987,124.381915228273,111.79528973735,142.624607109617
1988,128.263113201958,112.343311359568,145.246706632376
1989,133.077209322312,120.041573013079,151.1941844099
1990,151.001668937153,136.017218889688,179.050705048594
1991,147.928522572769,131.455111437755,167.589466149562
1992,161.159479676855,145.185816291801,188.19879118053
1993,166.138429750513,147.899967683859,192.66698718016
1994,168.482415969023,149.97251883751,192.34491831101
1995,176.699937959935,154.793548056491,200.943893597412
1996,176.039428912492,155.446699417129,197.261104591958
1997,185.10701367053,163.701100857993,208.621347351696
1998,196.025798635221,174.667048156945,227.80531188567
1999,185.996537480481,163.286416770982,211.722847146249
2000,190.892251515123,168.069656660213,219.581938405588
2001,195.348567683598,177.39536038922,222.520552480882
2002,204.464077180184,184.621208300205,233.630209637596
2003,209.698984000218,190.553305170683,241.605820275722
2004,209.693850989577,185.335139767932,234.539801784347
2005,204.307289678003,183.830449707629,228.043905571569
2006,201.357520538132,177.856127347965,224.062012265529
2007,211.293489147115,188.428694896749,235.332907464738
2008,209.847204379895,184.437398598934,232.463395275811
2009,235.386786588215,215.260357726239,267.695914679423
2010,248.340273425352,225.29775755264,288.650748734468
2011,238.077922804281,211.024904101943,268.372192336037
2012,248.179047144906,221.321674624393,287.934845748537
2013,253.935222889259,228.845864810034,292.507776772545
2014,263.176205207721,230.338574649425,299.592447183782
2015,271.991335237934,240.534238598812,304.133824886515
2016,286.313152415553,256.520265327562,327.280963998479
2017,282.429133765843,252.336774793561,328.036517462018
2018,259.881303205397,228.856388940832,298.442921075019
2019,257.688664787957,225.950640761139,294.516247696584
2020,251.107759683565,223.355144865247,283.694308980413
2021,253.20098094201,226.052035275975,293.738396463053
2022,237.434745569799,208.532117814127,273.425414568539
2023,222.319195848887,195.56381603128,255.136483353107
